FID,Shape,ORGANIZATI,UNIT,SUBUNIT,SUBUNIT2,FIREID,FIRENAME,FIRENUMBER,FIRECODE,CAUSE,SPECCAUSE,STATCAUSE,SIZECLASS,SIZECLASSN,FIRETYPE,STARTDATED,STATE,STATE_FIPS,FIPS,lat,lon,acres
29648,Point,FWS,43558,USLABBR,Big Branch Marsh National Wildlife Refuge,91406,Lorelei,2016USLABBRKR5M,KR5M,Human,0,0,B,2, ,10/10/16,Louisiana,22,22,30.327274,-90.001112,0.5
29902,Point,FWS,33510,USIADSR,Desoto National Wildlife Refuge,89722,DeSoto 1,2016USIADSRJ78N,J78N,Undetermined,0,0,B,2, ,4/10/16,Iowa,19,19,41.493458,-96.006784,0.5
30112,Point,FWS,13700,USWAHFR,Hanford Reach National Monument/Saddle Mountain National Wildlife Refuge,91451,HWY 24 MP 56.5 B,2016USWAHFRKSS6,KSS6,Human,0,0,B,2, ,10/11/16,Washington,53,53,46.73809,-119.54633,0.5
30706,Point,FWS,41528,USPRVQR,Vieques National Wildlife Refuge,89662,Puerto Diablo -1,2016USPRVQRJ71Z,J71Z,Human,0,0,B,2, ,4/5/16,Puerto Rico,72,72,18.139167,-65.33,0.5
30819,Point,FWS,52550,USNYMZR,Montezuma National Wildlife Refuge,89900,NY MZR FY16 WF St Lawrence HQ Field,2016USNYMZRJ8RP,J8RP,Undetermined,0,0,B,2, ,4/25/16,New York,36,36,44.414847,-75.365363,0.5
455029,Point,BIA,PAR,CAHIA,Hoopa Valley Tribe,691064,Lake,8,J79A,Human,0,0,NR,0,3,4/6/16,California,6,6,0,0,0.5
778134,Point,NPS,IMRO,MTGNP,Glacier National Park,696619,176,14,KM8Z,Human,0,0,B,2,3,8/22/16,Montana,30,30,0,0,0.5
778135,Point,NPS,IMRO,MTGNP,Glacier National Park,696620,352 Parma Drive,15,KM8A,Human,0,0,NR,0,3,8/22/16,Montana,30,30,0,0,0.5
804422,Point,NPS,NERO,MACCP,Cape Cod National Seashore,702151,Truro Structure Burn,1609, ,Human,0,0,B,2,3,5/21/16,Massachusetts,25,25,42.0444,-70.0664,0.5
26801,Point,FWS,41515,USFLLSR,Lower Suwannee National Wildlife Refuge,89789,Long Cabbage Island Fire,2016USFLLSR4023,4023,Human,0,0,B,2,2,4/18/16,Florida,12,12,29.22083,-83.08194,0.5
30597,Point,FWS,81654,USCASJR,San Joaquin River National Wildlife Refuge,89437,Lara Unit,2016USCASJR8015,8015,Human,0,0,B,2,2,3/12/16,California,6,6,37.605,-121.178,0.5
794602,Point,NPS,MWRO,ARBUP,Buffalo National River,701883,Red Bluff Over Look - Brewer Brown WF,1714,KU9Q,Natural,30,0,B,2,2,12/28/16,Arkansas,5,5,35.9775,-92.8592,0.5
835131,Point,NPS,SERO,FLBCP,Big Cypress National Preserve,694044,Natural Out RA70,41, ,Natural,1,0,B,2,2,7/18/16,Florida,12,12,26.17285,-81.20516,0.5
571855,Point,BLM,AK,AKAFS,Alaska Fire Service,695399,Eenayarak River,419,KFR1,Natural,0,0,B,2,1,7/13/16,Alaska,2,2,60.12,-162.02,0.5
571654,Point,BLM,AK,AKAFS,Alaska Fire Service,691200,Machine 1,28,J72A,Human,0,0,B,2,1,4/12/16,Alaska,2,2,64.8083,-147.6553,0.5
571873,Point,BLM,AK,AKAFS,Alaska Fire Service,695682,Hunter Creek,446,KFU5,Natural,0,0,B,2,1,7/13/16,Alaska,2,2,64.5211,-155.1639,0.5
616443,Point,BLM,CA,CANOD,NorCal District,697618,Cowhead,4780,KQL8,Human,3,0,B,2,1,9/15/16,California,6,6,41.886047,-120.10795,0.5
26806,Point,FWS,74540,USAKYDR,Yukon Delta National Wildlife Refuge,90729,16419 Eenayarak River,2016USAKYDRKFR1,KFR1,Natural,0,0,B,2,1,7/13/16,Alaska,2,2,60.11667,-162.01667,0.5
30522,Point,FWS,43640,USLASBR,Sabine National Wildlife Refuge,91041,Musk,2016USLASBRKM04,KM04,Natural,0,0,B,2,1,8/1/16,Louisiana,22,22,29.8782,-93.61825,0.5
440305,Point,BIA,NWR,WACOA,Colville Agency,694859,Highway 155 #2,74,KH7P,Human,25,0,B,2,1,7/26/16,Washington,53,53,48.365827,-119.2511,0.5
635323,Point,BLM,CO,COGJD,Grand Junction Center,702068,French Gulch,608,KP7W,Natural,0,0,B,2,1,9/12/16,Colorado,8,8,39.4881,-106.0109,0.5
664880,Point,BLM,MT,MTMCD,Miles City Field Office,694503,Jumpoff,231,KH4W,Natural,0,0,B,2,1,7/25/16,South Dakota,46,46,45.5447,-103.8331,0.5
668230,Point,BLM,NM,NMCAD,Carlsbad Field Office,693916,Colfax,327,KAK0,Human,0,0,B,2,1,6/13/16,New Mexico,35,35,32.405911,-104.254997,0.5
683026,Point,BLM,NV,NVCCD,Carson City Field Office,700467,Axe Handle,30361,KGS9,Human,0,0,B,2,1,7/19/16,Nevada,32,32,39.74839,-119.686303,0.5
