date,Phoenix,Las_Cruces,Bishop,Yuma,Bozeman,Santa_Maria,Las_Vegas,Chicago,Nashville,Vernal,Los_Angeles,Baltimore,Atlanta,Wichita,Miami,Boise,Tulsa
1/1/16,203,36,35,34,75,43,57,43,50,46,101,35,56,30,144,58,36
1/2/16,59,45,34,38,95,42,69,34,32,56,80,60,56,29,44,55,33
1/3/16,45,82,31,46,82,45,75,47,30,71,100,60,54,29,34,68,41
1/4/16,37,42,33,40,74,40,53,34,32,74,64,33,48,49,35,84,52
1/5/16,38,62,30,31,61,40,33,39,41,82,53,38,51,24,55,117,36
1/6/16,42,40,36,37,67,41,38,48,46,86,61,74,57,20,41,91,36
1/7/16,40,40,37,35,74,41,39,61,39,88,57,79,50,48,39,43,43
1/8/16,43,42,40,37,67,37,37,58,35,48,60,82,45,18,44,59,24
1/9/16,63,40,35,53,68,37,33,47,20,40,75,66,38,27,48,59,30
1/10/16,62,37,35,40,45,35,36,37,27,40,75,71,31,55,34,72,31
1/11/16,65,38,34,32,56,34,41,40,30,40,73,30,52,32,35,44,33
1/12/16,70,36,34,33,37,41,63,67,24,46,60,41,63,30,32,40,29
1/13/16,73,36,37,31,29,37,69,58,38,62,71,41,51,35,52,43,41
1/14/16,72,42,33,49,13,40,55,57,43,55,75,52,71,33,44,51,40
1/15/16,74,43,85,77,21,40,40,61,38,67,71,65,58,29,50,37,30
1/16/16,83,40,38,35,28,32,48,57,64,49,81,48,39,31,54,36,31
1/17/16,90,40,29,35,43,30,63,42,36,90,108,38,57,26,67,57,34
1/18/16,70,37,33,49,25,31,54,51,20,54,72,30,52,29,42,35,31
1/19/16,69,39,30,42,29,31,45,63,39,41,65,35,56,33,55,31,47
1/20/16,62,41,32,34,18,31,58,61,56,44,73,52,74,17,60,32,56
1/21/16,54,43,31,31,28,35,48,77,55,48,64,58,75,26,69,30,57
1/22/16,68,45,33,31,43,38,61,65,41,50,70,50,44,58,46,38,53
1/23/16,60,69,42,34,47,38,61,52,58,61,70,32,54,25,60,36,61
1/24/16,64,68,38,52,34,36,41,65,74,80,63,51,64,31,66,38,39
1/25/16,56,43,38,35,38,38,39,62,44,49,61,94,80,39,64,61,55
1/26/16,63,40,39,36,49,40,42,37,45,48,68,73,67,32,69,55,33
1/27/16,57,37,33,34,53,38,60,36,38,62,62,48,57,33,69,29,36
1/28/16,57,37,31,33,38,41,70,39,42,108,72,72,52,36,35,52,33
1/29/16,77,42,31,49,15,41,64,48,40,129,72,50,49,42,63,44,43
