CBSA,lat,lon
"Phoenix-Mesa-Scottsdale, AZ",34.4484,-112.074
"Las Cruces, NM",32.326595,-106.775436
"El Centro, CA",32.793877,-115.561516
"Bishop, CA",37.3635,-118.3951
"Yuma, AZ",32.698437,-114.650398
"Bozeman, MT",45.676998,-111.042931
"Pahrump, NV",36.21104,-115.992279
"Santa Maria-Santa Barbara, CA",34.963623,-120.424576
"Las Vegas-Henderson-Paradise, NV",36.114647,-115.172813
"Allentown-Bethlehem-Easton, PA-NJ",40.613953,-75.477791
"Chicago-Naperville-Elgin, IL-IN-WI",41.881832,-87.623177
"Nashville-Davidson--Murfreesboro--Franklin, TN",36.174465,-86.76796
"Vernal, UT",40.452,-109.5388
"Los Angeles-Long Beach-Anaheim, CA",34.052235,-118.243683
"Baltimore-Columbia-Towson, MD",39.299236,-76.609383
"Atlanta-Sandy Springs-Roswell, GA",33.753746,-84.38633
"Payson, AZ",34.230869,-111.325134
"Wichita, KS",37.697948,-97.314835
"Nogales, AZ",31.341928,-110.934105
"Miami-Fort Lauderdale-West Palm Beach, FL",25.761681,-80.191788
