CBSA,name,lat,lon
"Phoenix-Mesa-Scottsdale, AZ",Phoenix,34.4484,-112.074
"Las Cruces, NM",Las_Cruces,32.326595,-106.775436
"Bishop, CA",Bishop,37.3635,-118.3951
"Yuma, AZ",Yuma,32.698437,-114.650398
"Bozeman, MT",Bozeman,45.676998,-111.042931
"Santa Maria-Santa Barbara, CA",Santa_Maria,34.963623,-120.424576
"Las Vegas-Henderson-Paradise, NV",Las_Vegas,36.114647,-115.172813
"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,41.881832,-87.623177
"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville,36.174465,-86.76796
"Vernal, UT",Vernal,40.452,-109.5388
"Los Angeles-Long Beach-Anaheim, CA",Los_Angeles,34.052235,-118.243683
"Baltimore-Columbia-Towson, MD",Baltimore,39.299236,-76.609383
"Atlanta-Sandy Springs-Roswell, GA",Atlanta,33.753746,-84.38633
"Wichita, KS",Wichita,37.697948,-97.314835
"Miami-Fort Lauderdale-West Palm Beach, FL",Miami,25.761681,-80.191788
"Boise City, ID",Boise,43.618881,-116.215019
"Tulsa, OK",Tulsa,36.15398,-95.992775
